Title,Duration
"ML Zoomcamp 9.5 - Preparing a Docker Image",9:13
"ML Zoomcamp 9.6 - Creating the Lambda Function",14:00
"ML Zoomcamp 9.7 - API Gateway: Exposing the Lambda Function",4:59
"ML Zoomcamp 9.8 - Summary",3:45
"Deploying BentoML to AWS lambda with Bentoctl",14:07
"ML Zoomcamp 9.10 - Homework solution",35:20
"ML Zoomcamp 10.1 - Overview",7:09
"ML Zoomcamp 10.2 - TensorFlow Serving",19:51
"ML Zoomcamp 10.3 - Creating a Pre-Processing Service",11:39
"ML Zoomcamp 10.4 - Docker-Compose",24:02
"ML Zoomcamp 10.5 - Introduction to Kubernetes",10:08
"ML Zoomcamp 10.6 - Deploying a Simple Service to Kubernetes",30:29
"ML Zoomcamp 10.7 - Deploying TensorFlow Models to Kubernetes",24:41
"ML Zoomcamp 10.8 - Deploying to EKS",18:35
"ML Zoomcamp 10.9 - Summary",8:29
"ML Zoomcamp 11.1 - Overview",9:22
"ML Zoomcamp 11.2 - Running KServe Locally",22:39
"ML Zoomcamp 11.3 - Deploying a Scikit-Learn Model with KServe",19:30
"ML Zoomcamp 11.4 - Deploying Custom Scikit-Learn Images with KServe",15:12
"ML Zoomcamp 11.5 - Serving TensorFlow Models with KServe",14:59
"ML Zoomcamp 11.6 - KServe Transformers",33:34
"ML Zoomcamp 11.7 - Deploying with KServe and EKS",27:21
